Platform,Job Nr,Date,Time,Post Theme / Name,Post Copy,Link,Format,Final Creative,Deadlines,MSS Notes,Creative,Designer
,,,,,,,,,,,,
APRIL,,,,,,,,,,,,
"Facebook
Instagram
LinkedIn",20889,"Wed, 1 April",,COVER PAGES,,https://upington.udsa.co.za/contact-us/,Static,"Whatever happens, we’re by your side
Road Support: 079 492 1956","Tue, 24 March",Facebook and LinkedIn Cover Page,,Quintin
"Facebook
Instagram
LinkedIn",20889,"Sun, 5 April",10:00,Easter,"This Easter, we celebrate more than just a season – we celebrate the journey. Every truck on the road, every delivery made, and every partnership forged is a testament to resilience, teamwork, and commitment. To our drivers, thank you for your dedication and for keeping our roads safe. To our customers and partners, thank you for trusting us to move your business forward.

May this season of renewal bring you energy, peace, and smooth journeys ahead. From all of us at UD Trucks Upington, we wish you a joyful and safe Easter.",https://upington.udsa.co.za/contact-us/,Static,"Happy Easter from UD Trucks Upington!
Wishing all our drivers, partners, and customers safe roads, smooth journeys, and renewed energy this season.","Thu, 26 March",,,Quintin
"Facebook
Instagram
LinkedIn",20889,"Tue, 7 April",18:00,Quon,"Whether it’s heavy-duty mining, construction, long-haul transport, or refrigerated deliveries, the UD Quon rises to every challenge. Designed for South Africa’s toughest roads, it offers fuel-efficient engines, advanced safety systems, and a rugged build that keeps your business moving forward.

No matter your load or your route, the UD Quon delivers unmatched performance, reliability, and peace of mind. Stop by UD Trucks Upington today and discover how the Quon can elevate your fleet.

https://upington.udsa.co.za/trucks/quon/


#UDTrucks #Quon #HeavyDuty #ExtraHeavyDuty #Trucks #Mining #Construction #Longhaul #Logistics #FleetManagement #Laubstar",https://upington.udsa.co.za/contact-us/,Static,"Quon Logo & Image
- Construction
- General Cargo
- Industrial
- Long Haul
- Waste Management","Mon, 30 March",,,Quintin
"Facebook
Instagram
LinkedIn",20889,"Wed, 8 April",18:00,Quester,"From tough construction sites to heavy industrial loads and long-haul routes, the UD Quester delivers the performance, durability, and efficiency your operations demand. Built to handle diverse challenges, it’s the truck that keeps your business moving forward.

Visit UD Trucks Upington today and experience the Quester difference.
https://upington.udsa.co.za/trucks/quester/


#UDTrucks #Quester #HeavyDuty #Trucks #Logistics #LongHaul #Cargo",https://upington.udsa.co.za/contact-us/,Static,"Quester Logo & Image
- Construction
- General Cargo
- Industrial
- Long Haul
- Waste Management","Wed, 1 April",,,Quintin
"Facebook
Instagram
LinkedIn",20889,"Thu, 9 April",18:00,Croner,"Whether you’re hauling construction materials, moving general cargo, or handling waste management, the UD Croner is engineered to get the job done efficiently and reliably. Its durable chassis, smart fuel-efficient engine, and practical safety features make it the ideal partner for demanding daily operations.

Get a Quote Today
https://upington.udsa.co.za/trucks/croner/

#UD #Trucks #Croner
",https://upington.udsa.co.za/contact-us/,Static,"Croner Logo & Image
- Construction
- General Cargo
- Waste Management","Thu, 2 April",,,Quintin
"Facebook
Instagram
LinkedIn",20889,"Fri, 10 April",18:00,Kuzer,"Perfect for urban deliveries and light industrial tasks, the UD Kuzer combines nimble maneuverability with reliable performance. Its fuel-efficient engine, practical design, and advanced safety features make every delivery smooth, safe, and on time.

Visit UD Trucks Upington today and see how the Kuzer can simplify your day-to-day operations.
https://upington.udsa.co.za/trucks/kuzer/

#UD #Trucks #Kuzer #GeneralCargo
",https://upington.udsa.co.za/contact-us/,Static,"Kuzer Logo & Image
- General Cargo","Mon, 6 April",,,Quintin
"Facebook
Instagram
LinkedIn",20889,"Wed, 15 April",10:00,Service,"From routine maintenance to major repairs, our skilled technicians ensure your UD truck stays in top condition. With genuine parts, expert care, and fast, reliable service, we help minimise downtime and maximise performance—so your business keeps moving forward.

Book your service at UD Trucks Upington today and drive with confidence.
https://upington.udsa.co.za/book-a-service/

#UDTrucks #TruckService #TruckParts #Upington",https://upington.udsa.co.za/contact-us/,Static,"Keep Your Fleet Moving with UD Trucks Upington Service!

Service Manager:
Frik Esterhuizen 
frike@laubstar.co.za
Cell: 066 571 1388","Wed, 8 April",,,Quintin
"Facebook
Instagram
LinkedIn",20889,"Wed, 22 April",10:00,Parts,"When it comes to performance and reliability, don’t compromise. UD Trucks Upington provides genuine parts designed specifically for your UD truck, ensuring durability, safety, and peak efficiency. 

Visit UD Trucks Upington today for all your parts needs.
https://upington.udsa.co.za/services/genuine-parts/

#UD #Trucks #TruckParts #Upington",https://upington.udsa.co.za/contact-us/,Static,"Keep your fleet running smoothly with parts you can trust.

Order Today
Parts Manager:
Deon Kotzé 
deonk@laubstar.co.za
Cell: 082 771 8764","Mon, 13 April",,,Quintin
